1 A | Theatre Square | tags: math
3 A | Shortest path of the king | tags: greedy,shortest paths
5 A | Chat Servers Outgoing Traffic | tags: implementation
13 A | Numbers | tags: implementation,math
14 B | Young Photographer | tags: implementation
17 A | Noldbach problem | tags: brute force,math,number theory
29 A | Spit Problem | tags: brute force
35 A | Shell Game | tags: implementation
37 A | Towers | tags: sortings
43 A | Football | tags: strings
56 A | Bar | tags: implementation
58 A | Chat room | tags: greedy,strings
69 A | Young Physicist | tags: implementation,math
72 G | Fibonacci army | tags: *special,dp
74 A | Room Leader | tags: implementation
75 A | Life Without Zeros | tags: implementation
90 A | Cableway | tags: greedy,math
102 B | Sum of Digits | tags: implementation
106 A | Card Game | tags: implementation
106 B | Choosing Laptop | tags: brute force,implementation
108 A | Palindromic Times | tags: implementation,strings
109 A | Lucky Sum of Digits | tags: brute force,implementation
114 A | Cifera | tags: math
118 A | String Task | tags: implementation,strings
118 B | Present from Lena | tags: constructive algorithms,implementation
120 A | Elevator | tags: brute force,implementation,math
122 A | Lucky Division | tags: brute force,number theory
122 B | Lucky Substring | tags: brute force,implementation
124 A | The number of positions | tags: math
125 B | Simple XML | tags: implementation
127 B | Canvas Frames | tags: implementation
131 A | cAPS lOCK | tags: implementation,strings
137 B | Permutation | tags: greedy
139 A | Petr and Book | tags: implementation
143 A | Help Vasilisa the Wise 2 | tags: brute force,math
157 B | Trace | tags: geometry,sortings
165 A | Supercentral Point | tags: implementation
177 B1 | Rectangular Game | tags: number theory
178 A1 | Educational Game | tags: 
178 A2 | Educational Game | tags: greedy
182 B | Vasya's Calendar | tags: implementation
195 A | Let's Watch Football | tags: binary search,brute force,math
219 A | k-String | tags: implementation,strings
221 A | Little Elephant and Function | tags: implementation,math
230 A | Dragons | tags: greedy,sortings
234 B | Reading | tags: sortings
237 A | Free Cash | tags: implementation
250 A | Paper Work | tags: greedy
259 A | Little Elephant and Chess | tags: brute force,strings
265 B | Roadside Trees (Simplified Edition) | tags: greedy,implementation
268 B | Buttons | tags: implementation,math
272 A | Dima and Friends | tags: implementation,math
284 B | Cows and Poker Game | tags: brute force,implementation
299 A | Ksusha and Array | tags: brute force,number theory,sortings
322 A | Ciel and Dancing | tags: greedy
334 A | Candy Bags | tags: implementation
336 A | Vasily the Bear and Triangle | tags: implementation,math
339 B | Xenia and Ringroad | tags: implementation
352 A | Jeff and Digits | tags: brute force,implementation,math
357 A | Group of Students | tags: brute force,greedy,implementation
Total 1000-rated problems found: 394
